,Exploration Type,Normalized,Optimistic,G-Sigma,Mean Reward,SD,Mean Steps,SD Steps
0,epsilonGreedy,True,True,True,0.977,0.10474254150057655,31.337,0.10474254150057655
1,epsilonGreedy,True,True,False,0.963,0.13088544609695915,75.412,0.13088544609695915
2,epsilonGreedy,True,False,True,0.606,0.2043624231604235,131.572,0.2043624231604235
3,epsilonGreedy,True,False,False,0.97,0.11874342087037919,75.519,0.11874342087037919
4,epsilonGreedy,False,True,True,173.638,11.291632122948391,23.47,11.291632122948391
5,epsilonGreedy,False,True,False,145.96,31.925951826061507,44.186,31.925951826061507
6,epsilonGreedy,False,False,True,91.076,70.50896555757998,28.706,70.50896555757998
7,epsilonGreedy,False,False,False,148.687,31.16512523639204,42.813,31.16512523639204
8,UCB,True,True,True,0.998,0.031559467676119,24.591,0.031559467676119
9,UCB,True,True,False,0.984,0.08800000000000001,39.988,0.08800000000000001
10,UCB,True,False,True,0.668,0.23616943070600818,201.13,0.23616943070600818
11,UCB,True,False,False,0.778,0.24842705166708395,145.962,0.24842705166708395
12,UCB,False,True,True,173.952,11.24854194995956,23.26,11.24854194995956
13,UCB,False,True,False,172.886,11.799873050164564,24.378,11.799873050164564
14,UCB,False,False,True,54.369,67.58047675919428,50.733,67.58047675919428
15,UCB,False,False,False,62.014,75.96566200593529,49.29,75.96566200593529
16,softmax,True,True,True,0.9985,0.02734501782775064,28.635,0.02734501782775064
17,softmax,True,True,False,0.8565,0.22618079051944265,154.231,0.22618079051944265
18,softmax,True,False,True,0.553,0.15391880976670785,21.25,0.15391880976670785
19,softmax,True,False,False,0.912,0.19041008376659047,107.856,0.19041008376659047
20,softmax,False,True,True,146.49,25.471943388756188,43.314,25.471943388756188
21,softmax,False,True,False,102.564,56.531954715894976,72.558,56.531954715894976
22,softmax,False,False,True,114.701,81.274298514352,31.329,81.274298514352
23,softmax,False,False,False,166.195,21.349168016576197,28.349,21.349168016576197
25,pursuit,True,True,False,0.9955,0.04722022871609158,31.159,0.04722022871609158
27,pursuit,True,False,False,0.994,0.05444263035526481,29.778,0.05444263035526481
29,pursuit,False,True,False,168.483,15.629002239426546,26.997,15.629002239426546
31,pursuit,False,False,False,169.929,17.011347947767103,25.391,17.011347947767103
