,Exploration Type,Normalized,Optimistic,G-Sigma,SD Steps
0,epsilonGreedy,True,True,True,10.020577578163845
1,epsilonGreedy,True,True,False,35.461172780944516
2,epsilonGreedy,True,False,True,113.2030007331961
3,epsilonGreedy,True,False,False,45.49713287669895
4,epsilonGreedy,False,True,True,5.702411770470456
5,epsilonGreedy,False,True,False,20.845406568354573
6,epsilonGreedy,False,False,True,8.276652402994824
7,epsilonGreedy,False,False,False,23.108872754853273
8,UCB,True,True,True,7.059318309865336
9,UCB,True,True,False,118.1930453749289
10,UCB,True,False,True,28.12151800667951
11,UCB,True,False,False,10.819939925896076
12,UCB,False,True,True,6.146216315750691
13,UCB,False,True,False,25.59285789043498
14,UCB,False,False,True,13.599279392673717
15,UCB,False,False,False,35.04841080562712
16,softmax,True,True,True,10.038644081747297
17,softmax,True,True,False,127.8393362780017
18,softmax,True,False,True,8.227241335952167
19,softmax,True,False,False,52.590777708643934
20,softmax,False,True,True,20.07714123076291
21,softmax,False,True,False,42.94791729525426
22,softmax,False,False,True,9.297289927715495
23,softmax,False,False,False,19.075835499395566
25,pursuit,True,True,False,10.87623096481497
27,pursuit,True,False,False,12.29751905873701
29,pursuit,False,True,False,9.99346661574451
31,pursuit,False,False,False,8.24174738753864
